neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
2,0,5,1,0,75
7,1,2,1,8,190
12,1,3,1,0,140
84,0,28,4,312,35
28,1,2,1,0,225
12,1,14,1,177,120
21,0,1,3,168,70
52,0,3,1,9,100
1,1,28,1,90,144
35,0,4,5,180,125
19,1,4,1,5,250
28,1,30,232,249,233
12,1,2,1,337,349
81,0,1,1,0,85
19,1,2,3,257,99
83,1,3,1,55,185
3,0,4,1,0,61
14,1,30,10,338,250
44,1,3,1,107,100
12,1,7,1,0,150
14,1,4,2,0,250
1,1,30,18,364,300
43,1,2,327,340,235
2,0,1,2,55,78
21,0,25,1,36,35
18,1,1,1,0,100
152,1,3,3,179,160
30,0,3,1,4,45
13,1,1,1,0,120
6,2,3,2,364,45
7,0,1,1,365,250
26,1,3,1,261,120
25,1,2,1,83,455
212,0,1,1,179,65
49,1,3,1,97,350
44,2,30,4,7,33
7,2,1,7,221,75
6,0,4,2,105,40
24,1,3,1,363,150
19,1,5,1,0,160
2,1,3,2,75,135
37,1,1,1,0,39
21,1,3,1,119,180
70,0,20,3,192,34
3,1,15,1,0,150
15,0,3,1,0,60
37,0,1,3,82,78
30,0,3,1,178,125
181,1,2,4,342,450
1,1,1,1,0,295
6,0,1,1,45,100
6,0,1,2,233,85
21,1,3,1,157,120
59,0,2,2,365,35
12,1,2,1,64,148
7,0,1,2,88,150
15,1,2,2,292,120
56,1,5,1,22,250
6,0,5,2,0,150
6,1,5,1,0,150
7,1,30,91,105,117
14,1,1,1,13,220
4,0,2,3,112,150
27,1,4,1,21,200
28,0,1,1,56,80
44,0,30,23,317,34
21,1,3,1,269,320
7,1,2,1,230,125
8,0,30,18,364,100
21,0,2,2,281,40
106,0,1,1,90,80
6,0,1,1,171,60
39,0,1,1,0,50
85,0,2,1,356,60
30,1,2,4,127,150
1,1,30,232,149,241
1,1,30,96,342,220
2,0,14,1,0,45
19,0,2,2,0,100
11,1,2,1,2,150
3,1,3,1,0,120
30,1,14,2,0,100
11,1,4,1,273,170
129,0,2,1,0,45
6,0,2,1,0,60
43,1,30,232,189,267
21,0,2,1,19,55
19,1,2,1,5,88
165,0,3,1,238,274
24,0,2,2,0,44
4,1,2,1,180,300
17,0,30,11,309,38
8,1,30,1,179,225
6,1,1,14,53,300
21,0,1,2,160,50
2,0,2,2,68,75
5,1,30,23,331,350
100,0,1,4,334,89
1,0,2,3,0,640
8,1,2,1,0,249
6,1,30,2,105,103
4,0,1,1,284,58
12,0,1,1,0,100
43,0,1,5,161,109
14,1,4,1,31,200
14,1,1,1,0,180
15,1,4,1,286,127
1,0,3,1,0,90
121,1,3,1,120,135
7,0,1,30,175,179
56,0,1,3,357,70
22,0,2,1,0,103
33,1,6,1,24,157
19,0,1,1,178,250
81,0,1,2,170,115
19,1,5,2,316,390
29,0,2,1,333,48
1,1,2,4,229,450
15,0,2,1,275,75
6,0,5,1,0,45
37,0,1,6,75,55
15,1,15,1,34,99
6,0,2,4,301,49
7,1,30,18,365,748
54,1,3,1,0,100
20,1,30,52,340,149
1,1,3,1,1,180
31,0,1,1,0,50
4,0,1,1,84,169
16,1,30,1,358,185
90,1,1,1,330,150
20,1,3,1,0,85
26,0,5,3,0,95
21,0,7,1,0,55
6,1,3,2,260,177
123,1,2,1,157,120
20,0,2,1,70,65
94,0,2,6,365,60
20,1,1,1,0,75
6,1,30,27,239,208
90,0,3,1,363,80
19,1,3,1,0,300
2,0,1,1,0,50
19,1,1,1,0,250
71,0,1,9,278,249
1,0,1,3,365,159
6,0,1,1,0,79
23,1,7,1,365,400
2,0,14,1,0,66
68,1,2,1,304,400
12,0,2,1,70,124
6,0,20,4,154,80
65,1,1,1,29,65
8,1,30,1,0,240
26,0,3,1,137,115
7,1,4,1,107,350
8,0,3,2,158,110
22,1,3,1,157,90
28,1,30,33,342,154
21,0,2,5,361,80
21,0,4,2,364,60
7,1,1,6,123,170
12,0,7,1,0,35
88,0,2,1,54,75
29,1,1,2,175,250
20,1,30,52,337,129
4,2,2,9,9,49
42,0,2,1,348,70
20,1,2,1,33,108
21,1,4,3,221,399
20,0,1,2,4,156
19,1,8,1,0,179
103,1,1,2,141,99
100,1,2,2,290,110
16,0,2,1,0,85
8,0,1,3,79,130
54,0,1,5,0,48
15,1,2,1,18,105
23,0,1,2,266,95
31,0,7,1,364,75
29,1,3,1,129,170
15,1,5,1,0,99
177,1,7,1,71,80
5,1,30,50,364,150
21,0,2,2,363,90
77,1,1,1,0,197
19,0,1,2,329,145
52,1,2,1,0,250
22,0,7,2,176,85
2,2,1,3,89,31
20,1,28,1,35,116
87,0,1,10,127,70
4,0,3,2,0,200
124,0,7,1,335,60
6,1,2,2,131,74
28,1,1,1,338,159
103,0,1,4,207,38
15,0,2,1,8,45
78,0,3,1,90,100
129,0,5,6,212,45
150,0,1,1,167,63
178,1,2,2,321,200
2,0,2,1,0,50
13,0,2,3,66,110
28,1,1,1,0,99
160,0,1,3,175,60
70,1,2,1,324,97
21,0,7,1,54,88
8,1,1,1,328,165
24,1,29,1,0,108
12,1,2,1,64,200
19,1,1,1,0,195
19,1,14,1,0,225
22,0,1,1,0,65
23,1,3,1,0,139
6,1,10,1,0,85
28,0,1,1,51,150
12,1,2,1,350,160
14,0,4,1,13,84
71,0,1,13,353,100
12,0,4,1,47,75
5,1,3,1,75,277
13,1,2,1,0,150
6,1,1,1,0,75
6,0,30,27,282,42
37,2,1,1,0,30
193,1,2,6,125,99
13,1,1,1,0,190
23,1,30,5,193,110
52,1,3,1,0,199
21,0,2,2,0,55
12,0,1,1,0,75
96,1,2,1,0,98
12,1,1,1,282,500
4,0,7,2,121,80
28,1,7,1,76,260
29,1,3,1,329,449
8,1,21,1,0,175
79,1,2,1,90,110
94,1,1,3,40,50
30,1,5,1,231,120
15,1,1,1,0,110
8,0,2,1,0,90
47,1,4,4,314,115
15,1,3,5,280,245
1,1,3,1,239,212
10,0,2,3,87,84
31,0,1,1,0,100
21,0,3,1,0,120
15,1,2,1,0,110
14,1,90,19,219,139
15,0,1,1,0,40
129,1,5,6,338,199
2,1,4,1,0,175
86,0,4,8,290,34
9,1,3,1,0,400
1,1,30,1,176,180
1,1,5,1,132,449
19,1,3,1,0,133
83,1,7,1,58,120
26,1,2,1,185,214
11,1,15,2,89,199
24,0,7,1,125,50
27,1,2,1,0,259
64,1,5,1,16,295
12,1,30,1,222,80
44,0,3,1,188,55
7,1,2,1,0,499
10,1,2,1,0,145
92,1,2,1,318,120
63,1,2,1,0,120
6,0,1,2,257,48
3,0,3,2,53,76
1,1,3,1,86,339
14,1,2,1,20,200
28,0,9,1,0,80
2,1,3,1,24,112
114,2,1,8,363,28
24,0,1,1,249,55
21,0,1,1,0,85
6,1,4,1,365,225
27,1,30,1,30,76
0,0,4,1,0,65
55,1,2,1,248,85
6,0,1,2,291,65
12,1,2,1,157,160
76,0,4,1,70,37
5,1,29,327,330,212
28,0,1,1,148,250
28,1,2,1,0,135
23,0,15,28,185,73
33,0,2,1,144,80
0,0,1,2,261,62
8,2,3,2,88,139
56,1,4,1,0,150
